species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
tipanan,m,1.716837723,1.305351369,0.959041392,0.755874856,0.707570176,0.908485019,0.633468456,1.243038049,1.012837225,1.424881637,1.45331834,1.225309282,1.424881637,1.247973266,0.255272505,0.477121255
tipanan,m,1.661812686,1.26245109,0.919078092,0.681241237,0.643452676,0.819543936,0.556302501,1.195899652,0.995635195,1.397940009,1.42975228,1.187520721,1.394451681,1.181843588,0.255272505,0.431363764
tipanan,m,1.64738297,1.281033367,0.924279286,0.69019608,0.662757832,0.826074803,0.612783857,1.195899652,0.977723605,1.403120521,1.440909082,1.193124598,1.387389826,1.204119983,0.176091259,0.447158031
tipanan,m,1.721810615,1.344392274,0.982271233,0.755874856,0.763427994,0.826074803,0.707570176,1.23299611,1.096910013,1.465382851,1.50242712,1.235528447,1.404833717,1.230448921,0.322219295,0.431363764
tipanan ,m,1.692846919,1.285557309,0.949390007,0.698970004,0.763427994,0.812913357,0.531478917,1.230448921,1.033423755,1.442479769,1.477121255,1.204119983,1.380211242,1.212187604,0.230448921,0.462397998
tipanan,f,1.880813592,1.46686762,1.10720997,0.959041392,0.886490725,0.991226076,0.633468456,1.445604203,1.195899652,1.607455023,1.643452676,1.390935107,1.600972896,1.396199347,0.462397998,0.643452676
tipanan,f,1.894869657,1.451786436,1.089905111,0.959041392,0.857332496,0.954242509,0.72427587,1.440909082,1.195899652,1.615950052,1.645422269,1.394451681,1.598790507,1.414973348,0.477121255,0.681241237
tipanan,f,1.87909588,1.440909082,1.093421685,0.913813852,0.851258349,0.959041392,0.672097858,1.421603927,1.198657087,1.612783857,1.643452676,1.387389826,1.612783857,1.424881637,0.447158031,0.698970004
tipanan,f,1.903632516,1.463892989,1.103803721,0.924279286,0.857332496,0.944482672,0.62324929,1.459392488,1.198657087,1.607455023,1.644438589,1.383815366,1.602059991,1.428134794,0.51851394,0.740362689
tipanan,f,1.840106094,1.436162647,1.093421685,0.799340549,0.84509804,0.903089987,0.653212514,1.414973348,1.178976947,1.609594409,1.64246452,1.387389826,1.62324929,1.421603927,0.431363764,0.681241237
tipanan,f,1.900913068,1.46834733,1.139879086,0.903089987,0.875061263,0.934498451,0.643452676,1.45331834,1.214843848,1.633468456,1.677606953,1.436162647,1.644438589,1.42975228,0.477121255,0.681241237
tipanan,f,1.820857989,1.380211242,1.049218023,0.86332286,0.785329835,0.86923172,0.62324929,1.352182518,1.146128036,1.553883027,1.57054294,1.320146286,1.557507202,1.36361198,0.322219295,0.591064607
tipanan,f,1.877946952,1.444044796,1.100370545,0.913813852,0.86923172,0.908485019,0.612783857,1.424881637,1.193124598,1.603144373,1.645422269,1.396199347,1.597695186,1.421603927,0.491361694,0.69019608
tipanan,f,1.794488047,1.376576957,1.033423755,0.838849091,0.763427994,0.880813592,0.602059991,1.338456494,1.146128036,1.549003262,1.58546073,1.324282455,1.539076099,1.340444115,0.397940009,0.602059991
tipanan,f,1.877371346,1.444044796,1.103803721,0.908485019,0.908485019,0.959041392,0.643452676,1.423245874,1.250420002,1.599883072,1.638489257,1.361727836,1.579783597,1.411619706,0.477121255,0.447158031
tipanan,f,1.876217841,1.436162647,1.079181246,0.886490725,0.832508913,0.924279286,0.643452676,1.411619706,1.250420002,1.574031268,1.618048097,1.342422681,1.544068044,1.371067862,0.544068044,0.662757832
tipanan,f,1.896526217,1.46834733,1.133538908,1.004321374,0.924279286,0.995635195,0.69019608,1.439332694,1.23299611,1.619093331,1.650307523,1.382017043,1.57634135,1.414973348,0.51851394,0.72427587
tipanan,f,1.857332496,1.439332694,1.075546961,0.886490725,0.880813592,0.963787827,0.698970004,1.40654018,1.220108088,1.589949601,1.611723308,1.344392274,1.540329475,1.380211242,0.505149978,0.681241237
tipanan,f,1.872156273,1.450249108,1.146128036,0.929418926,0.886490725,0.968482949,0.662757832,1.423245874,1.193124598,1.604226053,1.627365857,1.354108439,1.567026366,1.403120521,0.477121255,0.662757832
