SPECIES,SEX,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
luzonensis,male,1.692846919,1.322219295,0.963787827,0.69019608,0.69019608,0.84509804,0.698970004,1.212187604,1.012837225,1.445604203,1.495544338,1.255272505,1.428134794,1.230448921,0.86332286,0.301029996,0.51851394
luzonensis,male,1.695481676,1.255272505,0.919078092,0.653212514,0.602059991,0.763427994,0.653212514,1.176091259,1.004321374,1.409933123,1.42975228,1.187520721,1.385606274,1.204119983,0.812913357,0.255272505,0.462397998
luzonensis,male,1.680335513,1.276461804,0.929418926,0.602059991,0.612783857,0.799340549,0.681241237,1.181843588,0.991226076,1.397940009,1.440909082,1.187520721,1.390935107,1.173186268,0.886490725,0.204119983,0.462397998
luzonensis,male,1.643452676,1.281033367,0.939519253,0.602059991,0.612783857,0.792391689,0.62324929,1.178976947,0.982271233,1.403120521,1.432969291,1.204119983,1.376576957,1.181843588,0.84509804,0.204119983,0.431363764
luzonensis,male,1.677606953,1.301029996,0.954242509,0.633468456,0.643452676,0.851258349,0.672097858,1.201397124,1.012837225,1.396199347,1.440909082,1.198657087,1.382017043,1.201397124,0.851258349,0.255272505,0.477121255
luzonensis,male,1.669316881,1.255272505,0.913813852,0.62324929,0.602059991,0.77815125,0.643452676,1.181843588,0.968482949,1.408239965,1.442479769,1.181843588,1.399673721,1.178976947,0.838849091,0.146128036,0.414973348
luzonensis,male,1.63748973,1.257678575,0.913813852,0.643452676,0.591064607,0.832508913,0.643452676,1.167317335,0.944482672,1.378397901,1.409933123,1.176091259,1.354108439,1.173186268,0.806179974,0.146128036,0.431363764
luzonensis,male,1.648360011,1.255272505,0.919078092,0.612783857,0.602059991,0.740362689,0.643452676,1.164352856,0.959041392,1.376576957,1.421603927,1.170261715,1.361727836,1.181843588,0.832508913,0.176091259,0.380211242
luzonensis,male,1.63748973,1.250420002,0.924279286,0.612783857,0.633468456,0.792391689,0.602059991,1.149219113,0.959041392,1.354108439,1.399673721,1.146128036,1.36361198,1.149219113,0.826074803,0.230448921,0.301029996
luzonensis,male,1.698970004,1.303196057,0.949390007,0.69019608,0.662757832,0.857332496,0.716003344,1.206825876,1.021189299,1.437750563,1.475671188,1.235528447,1.419955748,1.225309282,0.851258349,0.278753601,0.431363764
luzonensis,male,1.800029359,1.376576957,1.053078443,0.740362689,0.755874856,0.832508913,0.73239376,1.281033367,1.096910013,1.503790683,1.542825427,1.29666519,1.514547753,1.29666519,0.968482949,0.361727836,0.62324929
luzonensis,male,1.712649702,1.31386722,0.968482949,0.612783857,0.62324929,0.832508913,0.716003344,1.190331698,0.963787827,1.399673721,1.45484486,1.201397124,1.404833717,1.23299611,0.838849091,0.230448921,0.51851394
luzonensis,male,1.787460475,1.378397901,1.037426498,0.740362689,0.748188027,0.851258349,0.698970004,1.301029996,1.075546961,1.511883361,1.542825427,1.298853076,1.521138084,1.309630167,0.973127854,0.361727836,0.591064607
luzonensis,male,1.683947131,1.278753601,0.963787827,0.69019608,0.633468456,0.785329835,0.633468456,1.193124598,1.008600172,1.408239965,1.457881897,1.225309282,1.436162647,1.212187604,0.857332496,0.204119983,0.462397998
luzonensis,male,1.754348336,1.326335861,0.977723605,0.72427587,0.770852012,0.812913357,0.662757832,1.247973266,1.053078443,1.482873584,1.521138084,1.292256071,1.50242712,1.298853076,0.944482672,0.301029996,0.556302501
luzonensis,male,1.82672252,1.389166084,1.064457989,0.770852012,0.763427994,0.857332496,0.748188027,1.324282455,1.1430148,1.5289167,1.568201724,1.320146286,1.542825427,1.328379603,0.995635195,0.397940009,0.633468456
luzonensis,male,1.773054693,1.352182518,1.012837225,0.740362689,0.73239376,0.806179974,0.681241237,1.26245109,1.071882007,1.494154594,1.521138084,1.276461804,1.485721426,1.278753601,0.963787827,0.342422681,0.568201724
luzonensis,male,1.824776462,1.394451681,1.071882007,0.838849091,0.740362689,0.886490725,0.698970004,1.328379603,1.149219113,1.531478917,1.575187845,1.328379603,1.534026106,1.342422681,1.012837225,0.342422681,0.579783597
luzonensis,male,1.726727209,1.318063335,0.977723605,0.707570176,0.69019608,0.806179974,0.69019608,1.227886705,1.025305865,1.456366033,1.492760389,1.276461804,1.472756449,1.209515015,0.897627091,0.342422681,0.505149978
luzonensis,male,1.778874472,1.336459734,1.025305865,0.755874856,0.73239376,0.748188027,0.643452676,1.281033367,1.096910013,1.499687083,1.537819095,1.294466226,1.499687083,1.290034611,0.949390007,0.322219295,0.51851394
luzonensis,male,1.793790385,1.371067862,1.029383778,0.763427994,0.716003344,0.819543936,0.72427587,1.292256071,1.120573931,1.515873844,1.557507202,1.311753861,1.50242712,1.292256071,1,0.414973348,0.556302501
luzonensis,male,1.774516966,1.354108439,1.017033339,0.698970004,0.707570176,0.86332286,0.672097858,1.276461804,1.075546961,1.488550717,1.525044807,1.298853076,1.492760389,1.269512944,0.973127854,0.278753601,0.579783597
