species,sex,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW,
albotuberculata,m,Samar,55.8,22.1,9.9,5.6,6.2,6.5,6.3,16.6,11.4,28,38.7,16.8,28.1,18.8,1.4,3.7,
albotuberculata,m,Samar,57.4,22.9,10,5,6,7,6.6,17.1,12.9,28.3,33,17.7,27.6,17.9,1.3,3.3,
albotuberculata,m,Mindanao,68.6,25.6,11.9,6.3,7.6,8.1,6.4,21.6,14.6,35,37.8,20.2,32.3,21.3,2.2,4.7,
albotuberculata,m,Mindanao,68,24.2,10.2,5.9,6.6,7.8,6.5,19.9,14.4,36,39,20.6,35.3,22.8,2.2,4.8,
albotuberculata,m,Mindanao,60.4,22.4,10.2,6.7,6.4,6.3,5.5,19.1,11.6,32.2,34.2,19.5,33,20.9,2.1,4.1,
albotuberculata,m,Mindanao,59.9,22.4,10.2,6.1,5.8,6.4,5.6,19.8,11.7,30.9,32.5,18.6,32.1,22.3,2,4.5,
albotuberculata,m,Mindanao,65.4,23.5,10.6,7.1,6,6.7,4.9,20.7,12.6,34.2,36.2,20.6,32.9,22.4,2.1,4.6,
albotuberculata,m,Mindanao,63.8,25.3,10.3,6.8,6.3,7.5,5.9,20.9,11.8,33.5,35.5,21.2,34.2,22.5,2.3,4.5,
albotuberculata,m,Mindanao,68.6,26.7,11.3,7.6,6.8,7.5,6,21.2,13.5,37.2,40.4,22.7,38,25.7,2.2,5.1,
albotuberculata,m,Mindanao,67.6,25.3,11.6,7.1,6.9,7.3,5.9,21.3,12.3,35.9,39.3,21.2,35.2,24.2,2.2,4.8,
albotuberculata,m,Mindanao,68.3,26,11.3,7.7,6,6.9,5.9,21.3,13.7,37.2,39.8,21.7,38.1,24.4,2.4,4.2,
albotuberculata,m,Mindanao,63.7,24.2,10.7,7.8,5.8,6.2,5.2,20.2,13,34.9,37.7,20.8,35.8,24.4,2.2,4.5,
albotuberculata,m,Mindanao,64.5,23.3,10.6,7.4,6.4,6.6,5.5,20.1,12.8,34.3,36.1,20,34.7,23.5,2.2,4.4,
albotuberculata,m,Mindanao,62.9,23.9,11,6.8,5.4,6.7,5.6,19.1,13.6,34,37.1,19.3,32,22.4,1.5,3.9,
albotuberculata,m,Mindanao,58.3,23.9,10.2,5.3,5.7,6.8,5.7,18.2,12.4,33.7,37.2,20.5,34.1,21.2,1.9,4.2,
albotuberculata,m,Mindanao,62.7,24.5,11.1,7.1,6,6.3,6,19.3,13.6,33.9,36.2,20.3,33.8,24.8,2.4,4,
albotuberculata,m,Mindanao,67.9,26,11.1,6.6,5.7,7.2,6.1,22.1,13.2,36.9,39.7,22,36.2,23.7,2.5,4.5,
albotuberculata,m,Mindanao,64.7,24.5,10.7,7.1,7.8,6.7,5.8,21.5,13.5,34.2,37.2,20.9,36.3,23.2,2.4,5,
albotuberculata,m,Mindanao,63.6,24.3,10.7,6.1,6.5,6.6,6,20.4,12.9,34.8,36.5,20.4,33.8,21.5,2.2,4.7,
albotuberculata ,m,Leyte,56.9,22.2,10.6,6.6,5.9,6.9,5.8,17.6,12.3,28.4,31.7,17.1,27.7,18.6,1.4,3.7,
albotuberculata ,m,Leyte,60.5,22.7,10.6,6.4,6.4,7.3,5.9,18.4,13.1,30.6,34.2,19.1,30.1,19.3,1.8,3.7,
albotuberculata,f,Mindanao,77.9,29,12.9,9.7,7.3,7.9,5.6,26.4,17.8,42,43.3,24.8,43.1,30,2.9,5.4,
albotuberculata,f,Mindanao,85.9,31.2,14.3,10.8,8.3,8.9,6.5,28.6,17.2,46.8,51,26.3,50.1,34.8,3.3,6.8,
albotuberculata,f,Mindanao,88.1,29.8,14.1,10.7,7.6,7.7,5.8,28.8,18.5,49.3,53,29.1,48.9,31.8,3.2,6.3,
albotuberculata,f,Mindanao,65.9,24.2,12.9,7.9,6.6,7,5.7,20.1,13,36.1,38.7,23,36.6,25.3,2.2,4.4,
albotuberculata,f,Mindanao,69.8,24.9,6.4,8.3,7,6.4,5.2,22.4,14,38.7,42.9,22.5,39.5,27.2,2.5,5.6,
albotuberculata,f,Mindanao,76.1,27.3,13.8,9.1,7.4,7.3,5.8,25.7,16.8,44.1,47.4,27.1,44.3,30.3,2.8,6,
albotuberculata,f,Mindanao,84.9,32.1,15.4,10.4,7.7,8.8,6.4,29.1,18.9,46.7,51.4,28.9,48,31.7,3.1,6.4,
albotuberculata,f,Mindanao,71.9,26.9,12.3,8.2,6.7,7.8,5.5,23.9,16,41.8,45.3,24.9,43.5,30.4,2.4,4.9,
albotuberculata,f,Mindanao,80,28.5,14.2,8.5,7.7,7.2,5.4,28.5,17.3,43.6,46.3,25.5,44.7,30.7,2.5,5.7,
albotuberculata,f,Mindanao,63.8,22.7,10.6,7,6.5,5.9,5.3,19.9,12.6,33.5,37,21.2,35.2,24.8,1.9,4.1,
albotuberculata,f,Samar,73.8,27.2,12.1,6.2,7.4,8.4,6.4,23,16.6,36.2,40.8,21.9,36.4,24.7,2.1,4.5,
aurantipunctata,m,Luzon,53.7,19.2,9,5.9,5.7,5.7,3.6,17.8,10.8,26,27.8,15.7,27.1,18,1.8,4.3,
aurantipunctata,m,Luzon,50.5,18.6,8.3,5.8,4.9,5.6,3.4,17.6,10.4,26.2,27.5,16.3,26.1,18.4,1.8,3.9,
aurantipunctata,m,Luzon,49.2,18.8,8.3,5.5,5.1,5.9,3.7,18.1,10.5,25.2,26.7,15.2,24.3,18.7,1.9,4,
aurantipunctata,m,Luzon,52.6,18.5,8.3,5.6,5.1,5.3,4.1,16.8,10.8,25.9,28.1,16.2,27.5,19.3,1.8,3.8,
aurantipunctata,m,Luzon,51.6,18.9,8.3,5.9,5.4,6,3.9,18.5,11.5,27.3,28.5,16.9,27.7,19.8,1.8,3.5,
