SPECIES,SEX,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
luzonensis,male,43.4,17.8,8.4,4.1,4.3,6.2,4,14.1,9.1,22.6,25.1,14,23.1,14.1,6.7,1.7,2
luzonensis,male,50,20.1,8.9,4.9,4.6,7.2,5.2,16.1,10.5,27.4,29.9,17.2,26.3,16.8,7.1,1.9,2.7
luzonensis,male,63.1,23.8,11.3,5.5,5.7,6.8,5.4,19.1,12.5,31.9,34.9,19.8,32.7,19.8,9.3,2.3,4.2
luzonensis,male,51.6,20.6,9.3,4.1,4.2,6.8,5.2,15.5,9.2,25.1,28.5,15.9,25.4,17.1,6.9,1.7,3.3
luzonensis,male,61.3,23.9,10.9,5.5,5.6,7.1,5,20,11.9,32.5,34.9,19.9,33.2,20.4,9.4,2.3,3.9
luzonensis,male,48.3,19,9.2,4.9,4.3,6.1,4.3,15.6,10.2,25.6,28.7,16.8,27.3,16.3,7.2,1.6,2.9
luzonensis,male,56.8,21.2,9.5,5.3,5.9,6.5,4.6,17.7,11.3,30.4,33.2,19.6,31.8,19.9,8.8,2,3.6
luzonensis,male,67.1,24.5,11.6,5.9,5.8,7.2,5.6,21.1,13.9,33.8,37,20.9,34.9,21.3,9.9,2.5,4.3
luzonensis,male,59.3,22.5,10.3,5.5,5.4,6.4,4.8,18.3,11.8,31.2,33.2,18.9,30.6,19,9.2,2.2,3.7
luzonensis,male,66.8,24.8,11.8,6.9,5.5,7.7,5,21.3,14.1,34,37.6,21.3,34.2,22,10.3,2.2,3.8
luzonensis,male,53.3,20.8,9.5,5.1,4.9,6.4,4.9,16.9,10.6,28.6,31.1,18.9,29.7,16.2,7.9,2.2,3.2
luzonensis,male,60.1,21.7,10.6,5.7,5.4,5.6,4.4,19.1,12.5,31.6,34.5,19.7,31.6,19.5,8.9,2.1,3.3
luzonensis,male,62.2,23.5,10.7,5.8,5.2,6.6,5.3,19.6,13.2,32.8,36.1,20.5,31.8,19.6,10,2.6,3.6
luzonensis,male,59.5,22.6,10.4,5,5.1,7.3,4.7,18.9,11.9,30.8,33.5,19.9,31.1,18.6,9.4,1.9,3.8
