species,sex,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
tipanan,f,Luzon,78.5,28.3,12.3,9.1,7.2,9,5.3,27.6,15.7,41.3,44.2,24.8,39.7,26,3,4.8
tipanan,f,Luzon,75.7,27.6,12.4,8.2,7.1,9.1,4.7,26.4,15.8,41,44,24.4,41,26.6,2.8,5
tipanan,f,Luzon,80.1,29.1,12.7,8.4,7.2,8.8,4.2,28.8,15.8,40.5,44.1,24.2,40,26.8,3.3,5.5
tipanan,f,Luzon,69.2,27.3,12.4,6.3,7,8,4.5,26,15.1,40.7,43.9,24.4,42,26.4,2.7,4.8
tipanan,f,Luzon,79.6,29.4,13.8,8,7.5,8.6,4.4,28.4,16.4,43,47.6,27.3,44.1,26.9,3,4.8
tipanan,f,Luzon,66.2,24,11.2,7.3,6.1,7.4,4.2,22.5,14,35.8,37.2,20.9,36.1,23.1,2.1,3.9
tipanan,f,Luzon,75.5,27.8,12.6,8.2,7.4,8.1,4.1,26.6,15.6,40.1,44.2,24.9,39.6,26.4,3.1,4.9
tipanan,f,Luzon,62.3,23.8,10.8,6.9,5.8,7.6,4,21.8,14,35.4,38.5,21.1,34.6,21.9,2.5,4
tipanan,f,Luzon,75.4,27.8,12.7,8.1,8.1,9.1,4.4,26.5,17.8,39.8,43.5,23,38,25.8,3,2.8
tipanan,f,Luzon,75.2,27.3,12,7.7,6.8,8.4,4.4,25.8,17.8,37.5,41.5,22,35,23.5,3.5,4.6
tipanan,f,Luzon,78.8,29.4,13.6,10.1,8.4,9.9,4.9,27.5,17.1,41.6,44.7,24.1,37.7,26,3.3,5.3
tipanan,f,Luzon,72,27.5,11.9,7.7,7.6,9.2,5,25.5,16.6,38.9,40.9,22.1,34.7,24,3.2,4.8
tipanan,f,Luzon,74.5,28.2,14,8.5,7.7,9.3,4.6,26.5,15.6,40.2,42.4,22.6,36.9,25.3,3,4.6
visayan everetti,f,Panay,80.3,28.1,12.8,7.7,6.7,7.8,5.2,24.6,14.8,43.6,49.1,25.4,43.1,27.3,2.7,4.2
visayan everetti,f,Negros,73.6,27.3,12.6,8,6.4,7.2,5.9,23.3,14.6,39.1,43.5,23.3,40.8,25.5,2.7,4.2
visayan everetti,f,Negros,72.3,27.4,12.7,8,6,7.4,4.6,22.6,16,42.9,47.7,24.9,42.1,26.5,3,5.3
visayan everetti,f,Negros,79.7,29.3,12.8,10.5,6.1,10.2,5.7,25.9,15.3,46.2,50.8,25.8,42.5,26.8,2.6,4.7
visayan everetti,f,Negros,74.4,26.5,12,7.3,6.3,8.1,5.7,22.5,15,40.7,46.3,25.5,39.3,23.3,2.3,3.8
visayan everetti,f,Negros,75.6,27.9,12.5,7.5,6.7,7.5,6.1,23.8,15.9,43.6,47.9,25.1,42.3,26.6,5.1,6.7
visayan everetti,f,Negros,75.1,27.7,13.4,8.8,6.6,7.1,5.3,24.9,16.7,42.8,48,25.4,44.8,27.8,5.1,6.6
visayan everetti,f,Negros,78,28.1,12.6,7.6,7.4,8.1,5.9,24.1,18.4,42.9,49.5,25.4,40.7,24.4,2.1,4.3
visayan everetti,f,Negros,65.4,26,12.5,6.2,6.2,7.5,4.7,21.4,14.3,35.8,43,21.9,34.8,22.2,2.1,3.7
visayan everetti,f,Negros,75.2,28,12.9,7.3,7.4,9.1,5.5,25,17.4,34.9,44.1,24.1,36.4,25,2.5,4.9
visayan everetti,f,Negros,78.8,27.5,12.2,6.5,7.6,8.8,5.3,23.3,18.2,37.2,43.7,22.4,37.1,23.6,2.9,5
visayan everetti,f,Negros,66.1,24.1,11.4,7,6.9,7,4.9,20.6,16,36.2,42.6,21.3,36.9,24.9,2.5,4.4
visayan everetti,f,Negros,62.8,23.4,11.2,6.1,6.5,7.5,4.8,20,14.3,30.7,38.7,20.4,33.9,21.7,2.1,3.4
visayan everetti,f,Negros,65,23.6,10.7,7.1,7.1,7.3,5,20.6,14.8,33.1,39.9,21.7,35.7,22.8,2.5,3.9
visayan everetti,f,Negros,74.4,26.6,11.6,7.1,7.1,7.6,5.2,21.6,15.5,37,42.9,22.9,35.2,22.1,3,4
visayan everetti,f,Negros,62.6,24.2,11.2,6.1,6.4,7.3,6.1,19.4,13.8,34,38.3,20.2,32.1,21.5,2.1,3.7
